"RSWKTag","url","language","year","title","publisher_city","publisher","singularTag","subject","schoollevel","titleAlt","author","schooltype"
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN873991796","ger","2016","Deutsches Lesebuch für höhere Lehranstalten","Straßburg","Schultz","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2",,,
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN873981057","ger","2016","Lesestoffe aus der klassischen neuhochdeutschen Literatur","Nürnberg","Korn","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2","Deutsches Lesebuch für höhere Lehranstalten",,
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN873828097","ger","2016","Auswahl aus der klassischen Litteratur des Mittelalters","Berlin","Grote","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2","Deutsches Lesebuch für höhere Lehranstalten","Ferdinand Hoffmann",
"Geografieunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN865853223","ger","2016","Der Außereuropäischen Nationen zweite Abtheilung","Leipzig","Seeger",,"Geographieunterricht","Nicht zuordbar","Sitten und Gebräuche der merkwürdigsten Nationen",,
"Geografieunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN865853010","ger","2016","Der Außereuropäischen Nationen erste Abtheilung","Leipzig","Seeger",,"Geographieunterricht","Nicht zuordbar","Sitten und Gebräuche der merkwürdigsten Nationen",,
"Geografieunterricht,Sekundarstufe 2,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN865851832","ger","2016","Neue Handelsgeographie","Leipzig","Brandstetter",,"Geographieunterricht","Sekundarstufe 2",,"Johann Jakob Egli",
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/PPN?865849102","ger","2016","Europa","Stuttgart","Erhard und Löflund",,"Geographieunterricht","Sekundarstufe 1","Friedrich Christian Franz's Lehrbuch der Länder- und Völkerkunde","Friedrich Christian Franz","Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864012225","ger","2016","Der @neueren Geschichte zweite Hälfte enthaltend","Halle","Anton","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der Universalgeschichte","Heinrich Leo","Gymnasium"
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864010893","ger","2016",,"Lobenstein","Illgensche Hofbuchhandlung",,"Geschichtsunterricht",,"Geschichte unsers Teutschen Vaterlandes von seinem Entstehen an bis auf unsere Zeiten","Ernst Bornschein",
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864010133","ger","2016",,"Lobenstein","Illgensche Hofbuchhandlung",,"Geschichtsunterricht",,"Geschichte unsers Teutschen Vaterlandes von seinem Entstehen an bis auf unsere Zeiten","Ernst Bornschein",
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN864009402","ger","2016",,"Lobenstein","Illgensche Hofbuchhandlung",,"Geschichtsunterricht",,"Geschichte unsers Teutschen Vaterlandes von seinem Entstehen an bis auf unsere Zeiten","Ernst Bornschein",
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863245005","ger","2016","Asien, Afrika, Amerika und die neu entdekten Länder","Stuttgart","Erhard und Löflund",,"Geographieunterricht","Sekundarstufe 1","Friedrich Christian Franz's Lehrbuch der Länder- und Völkerkunde","Friedrich Christian Franz","Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863219446","ger","2016","Geschichte des Alterthums","München","königl. Central-Schulbücher-Verl.","[]","Geschichtsunterricht","Sekundarstufe 1","Lehrbuch der allgemeinen Geschichte","Constantin Höfler","Gymnasium"
"Geschichtsunterricht,Sekundarstufe 2,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863216838","ger","2016",,"Würzburg","Stahel","[]","Geschichtsunterricht","Sekundarstufe 2","Geschichte der Römer von Erbauung der Stadt Rom bis zum Untergang des abendländischen Kaiserthums","Joseph Stahel",
"Geschichtsunterricht,Sekundarstufe 2,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863055494","ger","2016",,"Würzburg","Stahel","[]","Geschichtsunterricht","Sekundarstufe 2","Geschichte der Römer von Erbauung der Stadt Rom bis zum Untergang des abendländischen Kaiserthums","Joseph Stahel",
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863054080","ger","2016","Geschichte des Königreichs Bayern","München","Lindauer","[]","Geschichtsunterricht","Sekundarstufe 1",,"Anton Mengein","Gymnasium"
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863052002","ger","2016","Die @Nazional-Geschichte der Bayern für Schule und Haus","Nürnberg","Riegel und Wießner","[]","Geschichtsunterricht","Lehrmittel",,"Wolfgang Woerlein",
"Geschichtsunterricht,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863048994","ger","2016","Geschichte von Baiern","München","Strobl","[]","Geschichtsunterricht","Sekundarstufe 1",,"Lorenz Westenrieder",
"Geschichtsunterricht,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863044913","ger","2016","Kurzgefaßte Geschichte des Königreiches Bayern nach der neuesten Eintheilung für Bayerns Schulen und Vaterlandsfreunde entworfen","Augsburg","Rieger","[]","Geschichtsunterricht","Sekundarstufe 1",,"Johann Georg Waitzmann",
"Geschichtsunterricht,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863042473","ger","2016",,"München","Lindauer","[]","Geschichtsunterricht","Sekundarstufe 1","Kurzgefaßte Erzählungen eines Großvaters aus der Bayerischen Geschichte","Adolph von",
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863034519","ger","2016","Kurze Geschichte des Königreiches Bayern","München","Lindauer","[]","Geschichtsunterricht","Sekundarstufe 1",,"Anton Mengein","Gymnasium"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863029353","ger","2016","Historische Unterhaltungen aus der baierischen Geschichte für die vaterländische Jugend","Paßau","Pustet","[]","Geschichtsunterricht","Sekundarstufe 1",,"Wolfgang Mauerer",
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863012329","ger","2016","Erzählungen aus der bayerischen Geschichte mit besonderer Berücksichtigung der Pfalz","Augsburg","B. Schmid","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN863010326","lat","2016","Prima Elementa Historiæ Urbis Augustæ Vindelicorum In Colloquia Puerillia Redacta Et Usui Classium Inferiorum Gymnasii Annæi Destinata","Augustæ Vindelicorum","Typis Lotterianis",,"Geschichtsunterricht","Sekundarstufe 1",,"Paul von Stetten","Gymnasium"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN862979641","ger","2016","Lehrbuch der römischen Alterthümer für höhere Lehranstalten, Gymnasien und zum Selbstgebrauche","Erlangen","Heyder","[]","Geschichtsunterricht","Sekundarstufe 1",,"Johann Leonhardt Meyer","Gymnasium"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/862874491","ger","2016","Des @Herrn Abbtes Anselm Desing, kurze Anleitung die Universalhistorie nach der Geographie auf der Landkarte zu erlernen","Augsburg","Rieger",,"Geschichtsunterricht","Sekundarstufe 1",,"Franz Xaver Jann",
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN862872790","ger","2016","Einleitung zur Universalhistorie","Berlin","Stettin","[]","Geschichtsunterricht","Sekundarstufe 1",,"Hilmar Curas","Gymnasium"
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN862768462","ger","2016","Handbüchlein der Weltgeschichte für Schulen und Familien","Stuttgart","Steinkopf",,"Geschichtsunterricht","Lehrmittel",,"Johann Christoph Blumhardt",
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN862717590","ger","2016","Conspectus historiae universalis","Hamburg","Schillern",,"Geschichtsunterricht",,,"Guillaume Marcell",
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN862707269","ger","2016","Kurzgefaßte Geschichte der Teutschen","München","Lindauer","[]","Geschichtsunterricht","Sekundarstufe 1",,"Joseph Milbiller","Gymnasium"
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN862662680","ger","2016","Beschluß der Neuern Geschichte","Leipzig","Weidmanns Erben und Reich",,"Geschichtsunterricht","Lehrmittel","Allgemeine Weltgeschichte für Kinder","Johann Matthias Schröckh",
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/","ger","2016","Fortsetzung der Neuern Geschichte","Leipzig","Weidmann und Reich",,"Geschichtsunterricht","Lehrmittel","Allgemeine Weltgeschichte für Kinder","Johann Matthias Schröckh",
"Geschichtsunterricht,Sekundarstufe 2,Österreich","http://gei-digital.gei.de/cms/ppnresolver/?PPN861114396","ger","2016",,"Prag","Tempsky",,"Geschichtsunterricht","Sekundarstufe 2","Lehrbuch der Allgemeinen Geschichte für Ober-Gymnasien","Anton Gindely",
"Geschichtsunterricht,Handelsakademie,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN85970601X","ger","2016","Geschichte der neusten Weltbegebenheiten seit dem Jahre 1740","Halle","Johann Jacob Gebauer",,"Geschichtsunterricht","Berufliche Bildungsgänge","Lehrbuch der neuern Geschichte",,"Berufsbildende Schule"
"Geschichtsunterricht,Handelsakademie,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN859704823","ger","2016","Geschichte der drei neuern Jahrhunderte bis zum Jahre 1740","Halle","Johann Jacob Gebauer",,"Geschichtsunterricht","Berufliche Bildungsgänge","Lehrbuch der neuern Geschichte",,"Berufsbildende Schule"
"Geschichtsunterricht,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN859683079","ger","2016","Abriß der baierischen Geschichte","München","Lindauer",,"Geschichtsunterricht",,,"Lorenz von Westenrieder",
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland","http://gei-digital.gei.de/cms/ppnresolver/?PPN858609576","ger","2016","Lehrbuch der römischen Alterthümer für die Gymnasien und Schulen","Erlangen","Walthersche Buchhandlung",,"Geschichtsunterricht","Sekundarstufe 1",,"M. Johann Leonhardt Meyer","Gymnasium"
"Deutschunterricht,Realschule,Sekundarstufe 1,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN826388221","ger","1921","Haus und Vaterland I","Leipzig [u.a.]","Klinkhardt","[]","Muttersprachlicher  Unterricht","Sekundarstufe 1","Deutsches Lesebuch für Mädchen-Mittelschulen",,"Realschule"
"Deutschunterricht,Realschule,Sekundarstufe 1,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN819844764","ger","1918",,"Bielefeld [u.a.]","Velhagen & Klasing","[]","Muttersprachlicher  Unterricht","Sekundarstufe 1","Deutsches Lesebuch für Knaben-Mittelschulen in fünf Teilen",,"Realschule"
"Deutschunterricht,Sekundarstufe 2,Deutschland,Lesebuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN817157956","ger","1918",,"Leipzig [u.a.]","Teubner","[]","Muttersprachlicher  Unterricht","Sekundarstufe 2","Deutsches Lesebuch für höhere Lehranstalten",,
"Sozialkundeunterricht,Politischer Unterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN815809069","ger","1918","Leitfaden für volkswirtschaftliche Belehrungen an Volksschulen","Breslau","Morgenstern","[]","Sozialkundeunterricht","Sekundarstufe 1",,,"Hauptschule"
"Sozialkundeunterricht,Politischer Unterricht,Deutschland,Lehrmittel,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN815331444","ger","1918","1870 - 1914","Halle (Saale)","Gesenius",,"Sozialkundeunterricht","Lehrmittel",,,
"Realien,Berufsbildende Schule,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN792621093","ger","1918",,"Essen","Bädeker","[]","Realien","Berufliche Bildungsgänge","Lehr- und Lesebuch für Fortbildungs-, Gewerbe- und Handelsschulen",,
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN791126307","ger","1918","Realienbuch","Bielefeld [u.a.]","Velhagen & Klasing","[]","Realien","Sekundarstufe 1",,,
"Realien,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN791111903","ger","1918","Anschaulich-ausführliches Realienbuch","Bielefeld [u.a.]","Velhagen & Klasing","[]","Realien","Sekundarstufe 1",,,
"Geografieunterricht,Deutschland,Atlas,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN778090272","ger","1918","Atlas zu den praktischen Übungen in physischer Geographie","Leipzig [u.a.]","Teubner",,"Geographieunterricht",,,,
"Geografieunterricht,Rheinisch-Westfälisches Industriegebiet,Deutschland,Atlas,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN741112825","ger","1918","Schulatlas für das Rheinisch-Westfälische Industriegebiet","Braunschweig","Berlin",,"Geographieunterricht",,,,
"Geografieunterricht,Höhere Schule,Deutschland,Atlas,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN738457159","ger","1918","E. Debes' @Schulatlas für die mittlere Unterrichtsstufe","Leipzig","Wagner & Debes",,"Geographieunterricht",,,,
"Geografieunterricht,Berufsbildende Schule,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN733247814","ger","1918","Handels- und Verkehrsgeographie","Leipzig","List & von Bressensdorf","[]","Geographieunterricht","Berufliche Bildungsgänge",,,
"Geografieunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN731280873","ger","1918","Die @Geologie in der Schule","Leipzig","Quelle & Meyer",,"Geographieunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geografieunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN730386082","ger","1918","Das @Deutsche Reich","Leipzig","Wunderlich","[]","Geographieunterricht","Sekundarstufe 1","Hilfsbücher für den geographischen Unterricht an Volksschulen",,"Hauptschule"
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN729078922","ger","1918","Geographie","Breslau","Hirt",,"Geographieunterricht","Sekundarstufe 1","Ferdinand Hirts Neues Realienbuch",,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727850261","ger","1918","Weitere erdkundliche Grundbegriffe, Europa, ohne das Deutsche Reich","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 1","E. von Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727848798","ger","1918","Erdkundliche Grundbegriffe, Das Königreich Sachsen, Das Deutsche Reich","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 1","E. von Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727847279","ger","1918","Das @Königreich Sachsen, Die Erde als Himmelskörper","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 1","E. von Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727391836","ger","1918","Aus der allgemeinen Erdkunde, Länderkunde von Mitteleuropa","Berlin [u.a.]","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Erdkunde für Mittelschulen",,"Realschule"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727377825","ger","1918","Geographische Grundbegriffe, Übersicht der Länderkunde, Mitteleuropa, insbesondere das Deutsche Reich","Berlin [u.a.]","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Erdkunde für höhere Schulen",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN727117610","ger","1918","Heimatkunde","München","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Geographie für höhere Lehranstalten",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN725787570","ger","1918","Wirtschaftsgeographie des Deutschen Reiches und seiner Kolonien mit besonderer Berücksichtigung des deutschen Anteils am Welthandel und Weltverkehr","München [u.a.]","Oldenbourg","[]","Geographieunterricht","Sekundarstufe 1","Geographie für höhere Lehranstalten",,"Gymnasium"
"Geografieunterricht,Sekundarstufe 2,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722948085","ger","1918","Allgemeine Erdkunde: Physische Erdkunde, Die Erde und das Leben, Wirtschaftsgeographie, Die Beziehungen des Deutschen Reiches zur Weltwirtschaft, Das Deutschtum im Auslande, Bilder zur Siedlungskunde","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 2","E. von Seydlitzsche Geographie",,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN721363202","ger","1918","Die @außereuropäischen Erdteile, Die deutschen Kolonien, Mathematische Erdkunde","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 1","E. von Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN721362001","ger","1918","Die @außereuropäischen Erdteile, Überblick über das Erdganze, Grundzüge der mathematischen Erdkunde","Leipzig","Hirt","[]","Geographieunterricht","Sekundarstufe 1","E. von Seydlitzsche Geographie",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN721231004","ger","1918","Landeskunde der Provinz Schlesien ","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","F. Hirts Sammlung von deutschen Landeskunden",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN721226698","ger","1918","Landeskunde des Großherzogtums Oldenburg","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","F. Hirts Sammlung von deutschen Landeskunden",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN721220231","ger","1918","Landeskunde des Großherzogtums Hessen","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","F. Hirts Sammlung von deutschen Landeskunden",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN720847508","ger","1918","Landeskunde des Großherzogtums Baden","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","F. Hirts Sammlung von deutschen Landeskunden",,"Gymnasium"
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN685362329","ger","1918","Der @Weltkrieg 1914/18","Breslau","Goerlich","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geschichtsunterricht,Deutschland,Atlas","http://gei-digital.gei.de/cms/ppnresolver/?PPN679423346","ger","1918","F. W. Putzgers @historischer Schul-Atlas zur alten, mittleren und neuen Geschichte","Bielefeld [u.a.]","Velhagen & Klasing",,"Geschichtsunterricht",,,,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN668695080","ger","1918","Geschichte für sächsische Schulen","Bielefeld [u.a.]","Velhagen & Klasing","[]","Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN666301018","ger","1918",,"Leipzig [u.a.]","Teubner","[]","Geschichtsunterricht","Lehrmittel","Belgien",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN66629979X","ger","1918","Das @19. Jahrhundert","Leipzig [u.a.]","Teubner","[]","Geschichtsunterricht","Lehrmittel","Staatsanschauungen",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN66629710X","ger","1918",,"Leipzig [u.a.]","Teubner","[]","Geschichtsunterricht","Lehrmittel","Frankreich vom Sturze der Julimonarchie bis zum Beginn des 20. Jahrhunderts",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN666178623","ger","1918","Die @nationale Bewegung von 1815 - 1849","Leipzig [u.a.]","Teubner","[]","Geschichtsunterricht","Lehrmittel","Quellensammlung für den geschichtlichen Unterricht an höheren Schulen",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN666177929","ger","1918","Der @große Kurfürst","Leipzig [u.a.]","Teubner","[]","Geschichtsunterricht","Lehrmittel","Quellensammlung für den geschichtlichen Unterricht an höheren Schulen",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN666176027","ger","1918","Polen","Leipzig [u.a.]","Teubner","[]","Geschichtsunterricht","Lehrmittel","Quellensammlung für den geschichtlichen Unterricht an höheren Schulen",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN65702337X","ger","1918","Der @Verlauf des Weltkrieges","Leipzig","Voigtländer",,"Geschichtsunterricht","Lehrmittel",,,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN656426721","ger","1918","Erzählungen und Lebensbilder aus der deutschen Geschichte","Leipzig","Voigtländer","[]","Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN656418915",,"1918","Erzählungen aus der Weltgeschichte","Leipzig","Voigtländer","[]","Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN655993320","ger","1918","Deutsche Geschichte mit entsprechender Berücksichtigung der sächsischen","Leipzig","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Lernstoff für die Hand der Kinder",,
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN655004378","ger","1918","Deutsche Geschichte mit besonderer Berücksichtigung der allgemeinen","Leipzig","Hirt",,"Geschichtsunterricht","Sekundarstufe 1","Lernstoff für die Hand der Kinder",,"Hauptschule"
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN653893140","ger","1918","Die @Hauptereignisse der römischen Kaiserzeit, Deutsche Geschichte bis zum Ende des Dreißigjährigen Krieges","Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Pfeifers Lehrbuch der Geschichte für höhere Lehranstalten",,"Gymnasium"
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN646456520",,"1918","Kurze Übersichten über den Verlauf des Weltkriegs","Leipzig","List & von Bressensdorf",,"Geschichtsunterricht","Sekundarstufe 1",,,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN646357468",,"1918","Geschichte","Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","F. Hirts Realienbuch",,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN646221574",,"1918","Geschichte für evangelische Schulen","Breslau","Hirt","[]","Geschichtsunterricht","Sekundarstufe 1","Ferdinand Hirts neues Realienbuch",,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN640385516",,"1918","Hilfsbuch für den Unterricht in der alten Geschichte","Freiburg im Breisgau [u.a.]","Herder","[]","Geschichtsunterricht","Sekundarstufe 1",,,"Gymnasium"
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN635434091",,"1918","Vom Westfälischen Frieden bis zum Ausbruch des Weltkrieges","Erlangen [u.a.]","Deichert","[]","Geschichtsunterricht","Lehrerbildung","Lehrbuch der deutschen Geschichte",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN635337479",,"1918","Deutsche Geschichte bis zum Ende des Dreißigjährigen Krieges","Paderborn","Schöningh","[]","Geschichtsunterricht","Lehrerbildung","H. K. Steins Lehrbuch der Geschichte",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN632071958",,"1918","Deutsche Geschichte bis 1648","Hannover","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrerbildung","Quellen-Lesebuch zur vaterländischen Geschichte",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN632071931",,"1918","Deutsche, vornehmlich brandenburgisch-preußische Geschichte bis 1815","Hannover","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrerbildung","Quellen-Lesebuch zur vaterländischen Geschichte",,
"Geschichtsunterricht,Lehrerbildungsanstalt,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN632071907",,"1918","Neueste Geschichte seit 1815 bis zur Gegenwart","Hannover","Carl Meyer (Gustav Prior)","[]","Geschichtsunterricht","Lehrerbildung","Quellen-Lesebuch zur vaterländischen Geschichte",,
