"RSWKTag","url","language","year","title","publisher_city","publisher","singularTag","subject","schoollevel","titleAlt","author","schooltype"
"Geografieunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN72596331X","ger","1890","Geographie für Bayerische Mittelschulen","Bamberg","Buchner","[]","Geographieunterricht","Sekundarstufe 1",,,"Realschule"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722166974","ger","1890","Landeskunde der Provinz Sachsen und des Herzogtums Anhalt","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","Heimatkunden",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722157614","ger","1890","Heimatkunde der Provinz Brandenburg und der Stadt Berlin","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","Heimatkunden",,"Gymnasium"
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN722156197","ger","1890","Landeskunde der Freien und Hansestadt Lübeck und ihres Gebietes","Breslau","Hirt","[]","Geographieunterricht","Sekundarstufe 1","Heimatkunden",,"Gymnasium"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN688731961","ger","1890","Delphi und Olympia ; mit 8 Abbildungen","Breslau","Wohlfarth","[]","Geschichtsunterricht","Lehrmittel","Wanderungen auf klassischem Boden",,
"Geschichtsunterricht,Höhere Schule,Sekundarstufe 2,Selbstunterricht,Deutschland,Lehrmittel,Online-Publikation","http://gei-digital.gei.de/cms/ppnresolver/?PPN688731155","ger","1890","Die @griechischen Ruhmesstätten Marathon, Thermopylae, Salamis und Plataeae ; mit 4 Ortsplänen","Breslau","Wohlfarth",,"Geschichtsunterricht","Sekundarstufe 2","Wanderungen auf klassischem Boden",,
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN685596818","ger","1890","Von der Begründung des Deutschen Reichs durch Heinrich I. bis zur höchsten Machtentfaltung des Kaisertums unter Heinrich III.","Halle","Buchh. des Waisenhauses",,"Geschichtsunterricht","Tertiärbereich","@Annalen des deutschen Reichs im Zeitalter der Ottonen und Salier",,
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN68056277X","ger","1890",,"Breslau","Goerlich","[]","Geschichtsunterricht","Sekundarstufe 1","Realienbuch für kath. Schulen",,"Hauptschule"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN680298274","ger","1890","Hundert Erzählungen aus der bayerischen Geschichte","München","Oldenbourg","[]","Geschichtsunterricht",,,,
"Geschichtsunterricht,Hauptschule,Sekundarstufe 1,Deutschland,Schulbuch","http://gei-digital.gei.de/cms/ppnresolver/?PPN680048529","ger","1890","Vaterländische Geschichte für die Mittelstufe der Volksschulen","Köln am Rhein","Bachem",,"Geschichtsunterricht","Sekundarstufe 1",,,"Hauptschule"
"Geschichtsunterricht,Deutschland,Lehrmittel","http://gei-digital.gei.de/cms/ppnresolver/?PPN680047425","ger","1890","Repetitorium der Alten Geschichte","Danzig"," Lehmann",,"Geschichtsunterricht",,,,
