place,toPlace,lat,lng,oldPlace,num
Münster i. Westf.,Münster,51.9606649,7.6261347,,3
Rinteln,Rinteln,52.2020461,9.0759703,,3
Sondershausen,Sondershausen,51.3691898,10.8710502,,3
Weinheim [u.a.],Weinheim,49.544964,8.6602703,,3
[Frankfurt,Frankfurt am Main,50.1109221,8.6821267,Frankfurt,2
Brandenburg,Brandenburg,52.1313922,13.2162494,,2
Calw [u.a.],Calw,48.7122107,8.7472439,,2
Carlsruhe,Karlsruhe,49.0068901,8.4036527,Carlsruhe,2
Coburg,Coburg,50.2612094,10.962695,,2
Dortmund,Dortmund,51.5135872,7.4652981,,2
Emmerich,Emmerich am Rhein,51.8395929,6.2517303,,2
Erfurt [u.a.],Erfurt,50.9847679,11.0298799,,2
Frankfurt,Frankfurt am Main,50.1109221,8.6821267,,2
Freiburg i. B.,Freiburg im Breisgau,47.9990077,7.8421043,,2
Gütersloh [u.a.],Gütersloh,51.9032375,8.3857535,,2
Hanover,Hannover,52.3758916,9.7320104,Hanover,2
Harburg,Harburg,53.4607785,9.9834184,,2
Heilbronn,Heilbronn,49.1426929,9.210879,,2
Hildesheim,Hildesheim,52.154778,9.9579652,,2
Kattowitz O.-S.,Katowice,50.2648919,19.0237815,Kattowitz,2
Kiel,Kiel,54.3232927,10.1227652,,2
Lahr,Lahr/Schwarzwald,48.33915,7.8781487,Lahr,2
Lobenstein,Lobenstein,50.4416512,11.6325528,,2
Ludwigshafen,Ludwigshafen am Rhein,49.47741,8.44518,Ludwigshafen,2
Nördlingen,Nördlingen,48.8508157,10.4894906,,2
Passau,Passau,48.5667364,13.4319466,,2
Soest,Soest,51.5711476,8.105754,,2
Stendal,Stendal,52.6041444,11.8517729,,2
Zwickau,Zwickau,50.7102169,12.4733725,,2
[s.l.],,,,,1
Arnsberg i. Westf.,Arnsberg Westf,51.4052211,8.0670428,,1
Arnsberg i.W.,Arnsberg Westf,51.4052211,8.0670428,,1
Bayreuth,Bayreuth,49.9456399,11.5713346,,1
Blankenburg,Blankenburg,51.8164261,10.9773091,,1
Bremen,Bremen,53.0792962,8.8016937,,1
Celle,Celle,52.6175963,10.0628515,,1
Chemnitz,Chemnitz,50.827845,12.9213697,,1
Coblenz,Koblenz,50.3569429,7.5889959,Coblenz,1
Cöln,Köln,50.937531,6.9602786,Cöln,1
Dessau,Dessau,51.8308166,12.2423302,,1
Dessau [u.a.],Dessau,51.8308166,12.2423302,,1
Duisburg,Duisburg,51.4344079,6.7623293,,1
Einbeck,Einbeck,51.8205718,9.8683087,,1
Eisenach,Eisenach,50.9795715,10.3146872,,1
Elmshorn,Elmshorn,53.7513549,9.6632521,,1
Emden,Emden,53.3594029,7.2060095,,1
Frankfurt am Mayn,Frankfurt am Main,50.1109221,8.6821267,,1
Freiburg i.B.,Freiburg im Breisgau,47.9990077,7.8421043,,1
Giessen,Gießen,50.5840512,8.6784031,Giessen,1
Goslar a. H.,Goslar,51.9059531,10.4289963,,1
Goslar a. Harz,Goslar,51.9059531,10.4289963,,1
Grimma,Grimma,51.2364426,12.7202313,,1
Grünstadt,Grünstadt,49.5633016,8.1683938,,1
Halberstadt,Halberstadt,51.8948709,11.0496159,,1
Halle a/S.,Halle (Saale),51.4969802,11.9688029,,1
Harburg a. d. Elbe,Hamburg-Harburg,53.4607785,9.9834184,,1
Hof a.S.,Hof,42.6999368,-74.9232137,,1
Karlsruhe i.B.,Karlsruhe,49.0068901,8.4036527,,1
Kempten [u.a.],Kempten (Allgäu),47.7285699,10.3157835,,1
Königsberg i. Pr.,Königsberg,54.7104264,20.4522144,,1
Konitz,Chojnice,53.6944002,17.5569252,Konitz,1
Landshut,Landshut,48.5441917,12.1468532,,1
Mannheim [u.a.],Mannheim,49.4874592,8.4660395,,1
Marburg,Marburg,50.8021728,8.7667933,,1
Meissen,Meißen,51.1617842,13.4976592,Meissen,1
Merseburg,Merseburg,51.3563278,11.9917462,,1
Merseburg a/S.,Merseburg,51.3563278,11.9917462,,1
Metz,Metz,49.1193089,6.1757156,,1
Minden i.W.,Minden,38.9540739,-119.7657332,,1
Münster (Westf.),Münster,51.9606649,7.6261347,,1
Nagold,Nagold,48.5474083,8.7234746,,1
Oppenheim a.Rh. [u.a.],Oppenheim,49.8519223,8.3602742,,1
Osterwieck/Harz,Osterwieck,51.9720556,10.711473,,1
Quedlinburg,Quedlinburg,51.7920562,11.141448,,1
Schnepfenthal,Schnepfenthal,50.8837651,10.5741951,,1
Schwabach,Schwabach,49.3284557,11.0247098,,1
Stettin,Stettin,53.4285438,14.5528116,,1
Straßburg i.E.,Straßburg,48.5734053,7.7521113,,1
Stutgart,Stuttgart,48.7758459,9.1829321,Stutgart,1
Tübingen,Tübingen,48.5216364,9.0576448,,1
Weilburg,Weilburg,50.4859255,8.2722569,,1
Wismar,Wismar,53.8979416,11.4516022,,1
Wismar [u.a.],Wismar,53.8979416,11.4516022,,1
Wittlich,Wittlich,49.986944,6.889722,,1
Zweibrücken,Zweibrücken,49.2450528,7.3634022,,1
 Löbau,Löbau,51.0962292,14.6701781,,0
[Breslau],Breslau,51.1078852,17.0385376,,0
[Erffurt],Erfurt,50.9847679,11.0298799,Erffurt,0
[Franckfurt,Frankfurt,50.1109221,8.6821267,Franckfurt,0
[Görlitz],Görlitz,51.1506269,14.968707,,0
[s.n.],,,,,0
[Straßburg],Straßburg,48.5734053,7.7521113,,0
Amberg,Amberg,49.4403198,11.8633445,,0
Aschersleben,Aschersleben,51.7591297,11.4619062,,0
Augsburg [u.a.],Augsburg,48.3705449,10.89779,,0
Augustæ Vindelicorum,Augusta Vindelicorum,48.3705449,10.89779,Augustæ Vindelicorum,0
Bamberg [u.a.],Bamberg,49.8988135,10.9027636,,0
Bamberg und Würzburg,Bamberg,49.8988135,10.9027636,,0
Bautzen,Bautzen,51.182293,14.4237749,,0
Belle-Vue bei Constanz,Konstanz,47.6779496,9.1732384,,0
Berlin [u. a.],Berlin,52.5200066,13.404954,,0
Berlin [u.a.] ,Berlin,52.5200066,13.404954,,0
Berlin und Stettin,Berlin,52.5200066,13.404954,,0
Bielefeld [u. a.],Bielefeld,52.0302285,8.5324708,,0
Bochum,Bochum,51.4818445,7.2162363,,0
Bonndorf,Bonndorf im Schwarzwald,47.8164048,8.3372044,,0
Bonndorf (bad. Schwarzwald),Bonndorf im Schwarzwald,47.8164048,8.3372044,,0
Brandenburg a. H.,Brandenburg,52.1313922,13.2162494,,0
Bruchsal,Bruchsal,49.1249712,8.5844108,,0
Büdingen,Büdingen,50.2862963,9.1113838,,0
Budißin,Bautzen,51.182293,14.4237749,Budißin,0
Calw [u. a.],Calw,48.7122107,8.7472439,,0
Chemnitz-Gablenz,Chemnitz-Gablenz,50.8225743,12.9539094,,0
Coesfeld,Coesfeld,51.9382944,7.1675831,,0
Cöln a. Rh.,Köln,50.937531,6.9602786,Cöln,0
Crefeld,Krefeld,51.3387609,6.5853417,Crefeld,0
Dantzig,Danzig,54.3520252,18.6466384,Dantzig,0
Delitzsch,Delitzsch,51.525574,12.3380993,,0
