RSWKTag,year,subject,publisher_city,publisher,schoollevel,id,title,language,schooltype,author
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1762,Geschichtsunterricht,Braunschweig,Hildesheim,Sekundarstufe 1,GEIsb000017790,"Herrn Sylvester Tappen, vormahligen Licentiaten der Heil. Schrift, des Evangelischen Ministeriums Seniors, und ersten Predigers der Hauptkirche zu St. Andreas in Hildesheim, Einleitung in die Universal-Historie",ger,Gymnasium,
"Realien,Grundschule,Sekundarstufe 1,Deutschland,Schulbuch,Online-Publikation",1761,Realien,Berlin,Pauli,Sekundarstufe 1,gbvprint245936645,Kurzer Inbegrif aller Wissenschaften,ger,,
"Online-Publikation,Realien,Realschule,Berlin,Deutschland,Schulbuch",1760,Realien,Berlin,Verlag des Buchladens der Realschule,Sekundarstufe 1,BSZT334345669,Kurze Erläuterung einer in Kupfer gestochenen Vorstellung des Erdbodens,ger,,Johann Friedrich Hähn
"Realien,Deutschland,Schulbuch",1760,Realien,Noribergæ,Endter,,gbvprint231866739,"Joh. Amos Comenii Orbis Sensualium Pictus Quadrilinguis Emendatus, Hoc est: Omnium fundamentalium in mundo Rerum, & vita Actionum, Pictura & Nomenclatura, Germanica, Latina, Italica & Gallica. Cum Titulorum Indicibus atque Vocabulorum Dictionariolis Accurante Carolo Coutelle",mul,,Johannes Amos Comenius
"Erstleseunterricht,Grundschule,Berlin,Deutschland,Schulbuch",1760,Erstleseunterricht,Berlin,Verl. des Buchladens der Real-Schule,Grundschule,GEIsb000021953,Berlinisches neu eingerichtetes ABC Buchstabir- und Lese-Buechlein,ger,,
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch",1759,Geschichtsunterricht,Halle,Wäysenhaus,,BSZT336230087,Hieronymi Freyers weil. Inspectoris des königlichen Pädagogii zu Glaucha vor Halle Nähere Einleitung zur Universalhistorie bis auf ietzige Zeit fortgesetzet,ger,,Hieronymus Freyer
"Realien,Realschule,Deutschland,Schulbuch",1757,Realien,Berlin,Verlag der Buchhandlung der Real-Schule,Sekundarstufe 1,BSZT363821686,Erläuterung einer in Kupfer gestochenen Vorstellung der Römischen Kayser,ger,,Johann Friedrich Hähn
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1757,Erstleseunterricht,Ebersdorf,Vollrath,Grundschule,GEIsb000028017,Neu-eingerichtetes Schul-Büchlein,,,
"Geschichtsunterricht,Deutschland,Schulbuch",1755,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint148820255,Hieronymi Freyers weiland Jnspectoris des königlichen Pädagogii zu Glaucha vor Halle Nähere Einleitung zur Universalhistorie,ger,,Hieronymus Freyer
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch",1755,Geschichtsunterricht,Gotha,Reyher,,BSZT333360125,Des Herrn la Croze Kurzer Begrif der allgemeinen Weltgeschichte,ger,,Maturin Veyssière La Croze
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1755,Geographieunterricht,Chemnitz,Stößel,Sekundarstufe 1,GEIsb000094811,"M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger",ger,,
"Geografieunterricht,Realschule,Berlin,Deutschland,Schulbuch,Online-Publikation",1754,Geographieunterricht,Berlin,Real-Schule,Sekundarstufe 1,gbvprint156522292,Kurtze Erläuterung einer in Kupfer gestochenen Vorstellung des Erdbodens,ger,Realschule,Johann Friedrich Hähn
"Geschichtsunterricht,Realschule,Deutschland,Schulbuch,Online-Publikation",1754,Geschichtsunterricht,Berlin,Buchladen der Realschule,Sekundarstufe 1,gbvprint156522411,Erläuterung einer in Kupfer gestochenen Vorstellung der römischen Kayser,ger,,Johann Friedrich Haehn
"Geografieunterricht,Deutschland,Lehrmittel",1753,Geographieunterricht,Frankfurt,Leipzig,k07,GEIsb1400024x01753,"Von Europa, Portugall, Spanien, Franckreich, England, Schottland, Ireland, Niederland, Schweitz und Italien",ger,,
"Geografieunterricht,Deutschland,Lehrmittel",1753,Geographieunterricht,Frankfurt,Leipzig,k07,GEIsb1400024x02753,"Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern",ger,,
"Geografieunterricht,Deutschland,Lehrmittel",1753,Geographieunterricht,Frankfurt,Leipzig,k07,GEIsb1400024x03753,"Von Böhmen, Oesterreich, Bayern, Francken, Schwaben, Ober-Rhein, Nieder-Rhein, Westphalen, Nieder-Sachsen und Ober-Sachsen",ger,,
"Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation",1752,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint253689090,Hieronymi Freyers Paed. Reg. Hal. Insp.  Nähere Einleitung zur Universal-Historie,ger,,Hieronymus Freyer
"Staat Braunschweig,Waisenhaus-Buchdruckerei,Schulbuch,Verordnung,Richtlinie",1752,u080,[S.l.],,,012724882,"Serenissimi Verordnung, den Gebrauch der in dem Waisenhause zu Braunschweig gedruckten neuen Schulbücher betreffend",ger,,
"Geschichtsunterricht,Deutschland,Schulbuch",1751,Geschichtsunterricht,Berlin,Nicolai,,gbvprint147633761,Einleitung Zur Universal-Historie,ger,,Hilmar Curas
"Geografieunterricht,Deutschland,Lehrmittel",1751,Geographieunterricht,Leipzig,Waldenburg,,gbvprint136800947,Kern-Geographie,ger,,Gotthilff Werner
"Online-Publikation,Realien,Realschule,Berlin,Deutschland,Schulbuch",1751,Realien,Berlin,Winter,Sekundarstufe 1,BSZT327790245,Erläuterung einer in Kupfer gestochenen Vorstellung des Brandenburgischen Hauses,ger,,Johann Friedrich Hähn
"Geografieunterricht,Deutschland,Schulbuch",1750,Geographieunterricht,[S.l.],,,,@Kurtze Beschreibung Des Erd-Kreises,ger,,
"Geografieunterricht,Deutschland,Schulbuch",1750,Geographieunterricht,[S.l.],,,,@Einleitung Zu der Geographie,ger,,
"Online-Publikation,Religionsunterricht,Deutschland,Schulbuch",1750,Religionsunterricht,Görlitz,Richter,,BSZT33919166X,"Versuch einer Poetischen Anleitung Zur Kirchenhistorie, wodurch  Kindern  und Anfängern das allernöthigste dieser herrlichen Wissenschafft vom Anfange der Welt bis auf  gegenwärtige Zeit, auf eine sehr leichte, nemlich Reimweise eingerichtete Methode beygebracht werden kan",ger,,Johann Christoph Schultz
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1750,Geschichtsunterricht,München,Gastl,Sekundarstufe 1,GEIsb000078166,Kürtziste Universal-Historie Nach der Geographia Auf der Land-Karte,ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1750,Erstleseunterricht,[S.l.],[s.n.],Grundschule,GEIsb000033153,"[Methodus, die Buchstaben und das Lesenlernen zu erleichtern]",,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1750,Erstleseunterricht,Lüneburg,Berenberg,Grundschule,GEIsb000028927,A A a b c ...,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1750,Erstleseunterricht,Frankfurth a.d.O.,Koenigl. Hofbuchdr.,Grundschule,GEIsb000020463,A A a b c ...,ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1748,Erstleseunterricht,Wernigerode,Struck,Grundschule,GEIsb000033416,A A a b c ...,,,
"Online-Publikation,Geografieunterricht,Deutschland,Schulbuch",1747,Geographieunterricht,Görlitz,Richter,,BSZT339193026,"Versuch einer Poetischen Anleitung Zur Geographie, wodurch Kindern und Anfängern Das allernöthigste vom Globo, Europa, Asia, Africa und America; und sonderlich von Teutschland; auf eine sehr leichte, nemlich Reimweise eingerichtete Methode beygebracht werden kan",ger,,Johann Christoph Schultz
"Online-Publikation,Geschichtsunterricht,Tertiärbereich,Deutschland,Schulbuch",1746,Geschichtsunterricht,Hannover,Förster,Tertiärbereich,BSZT324328788,Kurtzer Entwurf der Politischen Historie des XVIII. Jahrhunderts enthaltend die Geschichten aller Europäischen Reiche und Staaten biß zu Ende des Jahrs 1745,ger,,Franz Dominicus Häberlin
"Geschichtsunterricht,Deutschland,Schulbuch",1746,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint184141702,Hieronymi Freyers Paed. Reg. Hal. Insp. Nähere Einleitung zur Universal-Historie,ger,,Hieronymus Freyer
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1746,Geschichtsunterricht,Stuttgart,Metzler,Sekundarstufe 1,GEIsb000018161,Johann Georg Eßichs Kurtze Einleitung zu der allgemeinen weltlichen Historie,,Gymnasium,
"Politischer Unterricht,Tertiärbereich,Deutschland,Lehrmittel",1745,Sozialkundeunterricht,Leipzig,Gleditsch,Tertiärbereich,,Joh. Jacob Schmaussens Einleitung zur allerneuesten Staats-Wissenschaft,ger,,Johann Jacob Schmauß
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1744,Erstleseunterricht,Ebersdorf,Vollrath,Grundschule,,"Neu-eingerichtetes Schul-Büchlein, darin die Jugend zu Erlernung der Buchstaben, des Buchstabirens und Lesens auf eine leichte, deutliche und gründliche Art dergestalt angeleitet wird, daß sie so wol die Bibel, als andere gedruckte Schriften fertig zu lesen tüchtig werden kan",ger,Grundschule,
"Sprachunterricht,Erstleseunterricht,Deutschland,Schulbuch",1743,Erstleseunterricht,Leipzig,Geßner,Grundschule,,"Neu eröffnetes in hundert Sprachen bestehendes A.b.c. Buch, Oder Gründliche Anweisung, In welcher Der zarten Jugend nicht allein in der Teutsch, Lateinisch, Französisch, Italiänischen, [et]c. sondern auch zu denen meisten Orientalischen Sprachen, deren Erkänntniß und Aussprache in kurtzer Zeit zu lernen, Ein leichter Weg gezeiget wird",ger,Gymnasium,Johann Friedrich Fritz
"Geschichtsunterricht,Deutschland,Schulbuch",1742,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint148820166,Hieronymi Freyers Paed. Reg. Hal. Insp. Nähere Einleitung zur Universalhistorie,ger,,Hieronymus Freyer
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1741,Geographieunterricht,Nürnberg,Fleischmann,Sekundarstufe 1,DBHB0040582,Erste Anfangs-Gründe Der Geographie,ger,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1741,Geschichtsunterricht,Leipzig,Gleditsch,Sekundarstufe 2,GEIsb000018151,"Hübnerus enucleatus & illustratus, Zweymal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, und nach der bekannten und belobten Hübnerischen Lehr-Art Durch kurtze und deutliche Fragen also vorgetragen ist, daß ein paar fleißige Schüler einander sich selbst in dieser Wissenschaft feste setzen können",ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1740,Erstleseunterricht,Halle,Liebisch,Grundschule,GEIsb000118389,"A B C Büchlein derer fünff Haupt-Sprachen Teütsch, Lateinisch, Frantzösisch, Italiänisch und Griechisch",,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1740,Erstleseunterricht,Leipzig,Dürr,Grundschule,GEIsb000016152,A a b c ...,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1739,Erstleseunterricht,Jena,Cröker,Grundschule,gbvprint314933700,"Neu-eingerichtetes ABC Buchstabir- und Lese-Büchlein, Nach welchem das Lesen auch der Zartesten Jugend Leicht und gründlich kan beygebracht werden",ger,Grundschule,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1739,Erstleseunterricht,Jena,Cröker,Grundschule,GEIsb000018627,Neu-eingerichtetes A B C Buchstabir- und Lese-Büchlein,,,
"Online-Publikation,Geschichtsunterricht,Gymnasium,Baden-Württemberg,Deutschland,Schulbuch",1736,Geschichtsunterricht,Stuttgart,Metzler; Erhardt,Sekundarstufe 1,BSZT324245580,Kurtze Einleitung Zur Allgemeinen Weltlichen Historie,ger,,Johann Georg Essich
"Geschichtsunterricht,Deutschland,Schulbuch",1736,Geschichtsunterricht,Halle,Waisenhaus,,gbvprint184141559,Hieronymi Freyers Paed. Reg. Hal. Insp. Nähere Einleitung zur Universalhistorie,ger,,Hieronymus Freyer
"Geschichtsunterricht,Grundschule,Deutschland,Schulbuch,Online-Publikation",1736,Geschichtsunterricht,Halle,Wäysenhaus,Grundschule,gbvprint148821197,Hieronymi Freyers Erste Vorbereitung zur Universalhistorie,ger,,Hieronymus Freyer
"Online-Publikation,Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1735,Geschichtsunterricht,Leipzig,Gleditsch,Sekundarstufe 2,BSZT336500386,"Hübnerus enucleatus & illustratus, Zwey mal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, ... ist ...",ger,,Johann Hübner
"Geschichtsunterricht,Deutschland,Lehrmittel",1735,Geschichtsunterricht,Berlin,Rüdiger,k07,GEIsb000094796,"Vicissitudines singulorum regnorum versibus germanicis expositæ. Das ist, GedächtnißVerse, Welche Die hauptsächlichsten Regierungs-Formen, So ein jedes merckwürdige Reich vom Anfange der Welt gehabt, Nebst Den Fatis der Handlung Auch einer Beschreibung der vornehmsten Alliancen und Friedensschlüsse enthalten, und entworffen sind Von Joachim Böldicken Rectore der Schule zu Königsberg in der Neumarck",ger,,Joachim Böldicke
"Geschichtsunterricht,Sekundarstufe,Österreich,Schulbuch",1733,Geschichtsunterricht,Wien,Schwendimann,,,Einleitung in die Kayser-Histori von Carolo Magno biß Carolum VI.,ger,,Franz Wagner
"Online-Publikation,Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1733,Geographieunterricht,Halle,Wäysenhaus,Sekundarstufe 1,BSZT323172962,Hieronymi Freyers Paed. Reg. Hal. Insp. Erster Abriß der Geographie nach der neuen Zeit,ger,,Hieronymus Freyer
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1733,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x03733,Fortsetzung der Römischen Monarchie,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1733,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x06733,Kurtzer Begriff der Kirchen-Historie,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1733,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb14900320x05733,,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation",1732,Geschichtsunterricht,Halle,Klemm,,gbvprint226080900,"M. Joh. Heinrich Zopfens, Direct. Gymn. Essend. Grundlegung der Vniversal-Historie",ger,,Johann Heinrich Zopf
"Geschichtsunterricht,Sekundarstufe,Österreich,Schulbuch",1732,Geschichtsunterricht,Wien,Schwendimann,,,Einleitung in die Histori der Römischen Kayser,ger,,Franz Wagner
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1732,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x01732,Von denen Biblischen Geschichten,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1732,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x02732,Von denen vier grossen Monarchien,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Deutschland,Tabelle,Lehrmittel,Online-Publikation",1731,Geschichtsunterricht,Nürnberg,Felßecker,Sekundarstufe 2,gbvprint138186480,"Kurzer Begriff der Chronologie in sechs Tabellen zum Gebrauch derer, welche nach der Methode des Herrn Hübners die Historie studiren",ger,,
"Geschichtsunterricht,Sekundarstufe,Österreich,Schulbuch",1731,Geschichtsunterricht,Wien,Schwendimann,,,Einleitung in die Alt-Römische Histori,ger,,Franz Wagner
"Realien,Deutschland,Enzyklospädie,Lehrmittel",1731,Realien,Leipzig,Gleditsch,Sekundarstufe 2,,Reales Schul-Lexicon,ger,,
"Geschichtsunterricht,Sekundarstufe,Österreich,Schulbuch",1730,Geschichtsunterricht,Wien,Schwendimann,,,Einleitung in die Alte Römische Histori,ger,,Franz Wagner
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1730,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x06730,Kurtzer Begriff der Kirchen-Historie,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Sekundarstufe,Österreich,Schulbuch",1729,Geschichtsunterricht,Wien,Schwendimann,,,Von den drey ersten Monarchien Der Assyrisch- Persisch- und Griechischen,ger,,Franz Wagner
"Geschichtsunterricht,Sekundarstufe,Österreich,Schulbuch",1729,Geschichtsunterricht,Wien,Schwendimann,,,Einleitung in die Biblische Histori deß Alten Testaments,ger,,Franz Wagner
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1729,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb14900320x05729,,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation",1728,Geschichtsunterricht,Halle,Wäysenhaus,,gbvprint184141346,Hieronymi Freyers Paed. Reg. Hal. Insp. Nähere Einleitung zur Universal-Historie,ger,,Hieronymus Freyer
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1728,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x04728,Von denen Königreichen und anderen Landschaften der Welt,,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch,Online-Publikation",1727,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,,Fortsetzung der Römischen Monarchie,ger,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Grundschule,Deutschland,Schulbuch,Online-Publikation",1727,Geschichtsunterricht,Halle,Wäysenhaus,Grundschule,gbvprint148821170,Hieronymi Freyers Paed. Reg. Hal. Insp. Erste Vorbereitung zur Universal-Historie,ger,,Hieronymus Freyer
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1727,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x03727,Fortsetzung der Römischen Monarchie,ger,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1726,Geschichtsunterricht,Nürnberg,Weigel,Sekundarstufe 1,GEIsb000021085,Gründliche Erzehlung der Merckwürdigsten Welt-Geschichten Aller Zeiten,,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1726,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x02726,Von denen vier grossen Monarchien,ger,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1726,Geschichtsunterricht,Augsburg,Wolff,Sekundarstufe 1,GEIsb1490032x01726,Von denen Biblischen Geschichten,ger,Gymnasium,Maximilian Dufrène
"Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation",1724,Geschichtsunterricht,"Halle, in Magdeburg",Renger,,gbvprint18881633x,D. Nicolai Hieronymi Gundlings P. P. Abriß zu einer rechten Reichs-Historie Welchen er In einem Collegio Priuato seinen Zuhören deutlicher erklären wird,ger,,Nicolaus Hieronymus Gundling
"Geschichtsunterricht,Deutschland,Lehrmittel",1724,Geschichtsunterricht,[S.l.],,,,"@Poëtische Anleitung Zur Historie, wie solche Der Jugend In wenigen Wochen gleichsam spielend könne beygebracht werden",ger,,
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch,Online-Publikation",1723,Geschichtsunterricht,Berlin,Nicolai,Sekundarstufe 1,gbvprint147633753,"Einleitung Zur Universal-Historie, Worinnen die Merkwürdigste Begebenheiten von Anfang der Welt bis auf diese Zeit Jn Fragen und Antwort kurtz vorgetragen werden, Nebst einem Anhang der Türkischen Historie Wie auch einer vollständigen Genealogie der Churfürsten zu Brandenburg, Und von denenselben herstammenden Königen in Preussen, Denen Anfängern zum besten in Druck gegeben, und mit einem Register versehen",ger,Gymnasium,Hilmar Curas
"Geschichtsunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1723,Geschichtsunterricht,Berlin,Nicolai,Sekundarstufe 1,GEIsb000020581,Einleitung zur Universal-Historie,ger,Gymnasium,
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch",1721,Geschichtsunterricht,Thorn,Nicolai,,BSZT33336161X,"Historisch-Chronologische Tabellen, In welchen Die vornehmsten Geschichte Der Europäischen Könige und Potentaten Kürtzlich angezeiget sind",ger,,Peter Jaenichen
"Geschichtsunterricht,Deutschland,Schulbuch,Online-Publikation",1720,Geschichtsunterricht,Halle,Renger,,gbvprint364111267,C. Corn. Taciti Germania Antiqva Oder Taciti Historische Nachricht von Teutschland und den Teutschen in den alten Zeiten,ger,,Cornelius Tacitus
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1720,Erstleseunterricht,Nürnberg,Weigel,Grundschule,GEIsb000118424,"Neues/ ABC Büchlein/ den Kinder, sehr. Nütz/ lich, zufinden in Nürnberg/ bey Johan Christoph Weigel/ Kunsthändlern. Wer da den Kindern will/ waß gutes bringen ein/ Der Muß bißweillen auch/ mit Jhnen kindisch sein",,,
"Online-Publikation,Geschichtsunterricht,Deutschland,Schulbuch",1718,Geschichtsunterricht,Leipzig,Gleditsch,k07,BSZT324329725,Des Herrn Abts Langlet du Fresnoy Anweisung zur Erlernung der Historie,ger,,Nicolas Lenglet du Fresnoy
"Geschichtsunterricht,Deutschland,Schulbuch",1717,Geschichtsunterricht,Dreßden und Leipzig,Zimmermann,,gbvprint147650399,"Kurtze Einleitung in die Politische Historie insgemein, und in die Sächsische insonderheit",ger,,Carl Friedrich Degenkolb
"Geschichtsunterricht,Deutschland,Schulbuch",1714,Geschichtsunterricht,Leipzig,Lanckisch,,,Universal-Historie,ger,,Gottfried Ludovici
"Lesenlernen,Lautiermethode,Erstleseunterricht,Grundschule,Deutschland,Schulbuch,Tertiärbereich,Bibel,Kanon,Lesenlernen,Erwachsenenbildung,Lehrmittel",1710,Erstleseunterricht,Nürnberg,Endter,k09,,"Die|| @Sprüche|| Salomonis,|| als ein|| mit abgesetzten Syllaben|| ganz leichtes|| Buchstabier-|| und|| Lese-Büchlein,|| wohl eingerichtet;||",ger,,
"Geschichtsunterricht,Deutschland,Schulbuch",1708,Geschichtsunterricht,Hamburg,Neumann,,BSZT355959879,"Poetische Anleitung Zur Universal-Historie, Samt deren Erleuterung, Wodurch der Jugend in weniger Zeit diese Wissenschafft gar leichte kan beygebracht werden",ger,,Paul Ludolph Berckenmeyer
"Geografieunterricht,Deutschland,Schulbuch",1708,Geographieunterricht,Hamburg,Neumann,,BSZT35595947X,"Geographische Fragen, Worinnen Die nohtwendigsten Stücke Der Erd-Beschreibung Auf eine kurtze und deutliche Methode Den Anfängern dieser Wissenschafft gewiesen werden",ger,,Paul Ludolph Berckenmeyer
"Politischer Unterricht,Deutschland,Schulbuch",1708,Sozialkundeunterricht,Dresden,Mieth,,BSZT354691147,"Christian Weisens Politische Fragen, Das ist: Gründliche Nachricht Von der Politica, Welcher Gestalt Vornehme und wohlgezogene Jugend hierinne einen Grund legen, So dann aus den heutigen Republiquen gute Exempel erkennen, Endlich auch in practicablen Staats-Regeln den Anfang treffen soll",ger,,Christian Weise
"Geschichtsunterricht,Sekundarstufe,Schulbuch",1704,Geschichtsunterricht,Leipzig,Lanckisch,Sekundarstufe 2,BSZT364358378,"Ordentliches Examen über die Universal-Historie, vom Anfang der Welt biß auff ietzige Zeit",ger,,Gottfried Ludovici
"Deutschunterricht,Grundschule,Deutschland,Lesebuch",1700,Muttersprachlicher  Unterricht,Nürnberg,Endter,Grundschule,GEIsb000017312,Neu-verfertigtes Namen- und Spruch-Büchlein,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel",1696,Geschichtsunterricht,Berlin,Völcker,Sekundarstufe 1,vd17ppn000990280,"Johan. Gerlach Wilhelmi, Gymn. Joach. Rectoris, p.m. @Universal-Historie",ger,,Johann Gerlach Wilhelmi
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1696,Geographieunterricht,Hamburg,Schiller,Sekundarstufe 1,vd17ppn000162191,Conspectus Geographiae. Abbildung der Erd-Beschreibung,ger,,Guillaume Marcel
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1670,Erstleseunterricht,Augsburg,Schönigk,Grundschule,GEIsb000008484,Ein @nutzliches Nahmenbüchlein wie man die Teutsche Schul-Jugend anfänglichen im Buchstabieren vnterrichten vnd lehren soll,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1650,Erstleseunterricht,Dantzig,Hünefeld,Grundschule,,Neues und also eingerichtetes A B C- und Lesebüchlein/ Daß Vermittels der darinnen begriffenen Anleitung/ nicht nur Junge/ sondern auch erwachsene innerhalb 6. Tagen/ zu fertigem Lesen so wol Deutscher als Lateinischer/ groß- und kleiner Schriften durch lustige Mährlein und Spiele können gebracht werden,ger,,Johannes Buno
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1650,Erstleseunterricht,Dantzig,Hünefeld,Grundschule,GEIsb000020911,"Neues und also eingerichtetes A B C und Lesebüchlein, daß vermittels der darinnen begriffenen Anleitung, nicht nur Junge, sondern auch erwachsene innerhalb 6. Tagen, zu fertigem Lesen so wol Deutscher als Lateinischer, groß- und kleiner Schriften durch lustige Mährlein und Spiele können gebracht werden ; Zu besserer und zeitiger Erbauung Der Allgemeinen Christlichen Jugend",,,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1648,Geographieunterricht,Wien,Freyschmidius,Sekundarstufe 1,vd17ppn000105457,"Mercurius Cosmicus, id est, Epitome Geographica Viri q. Clar.mi & Experientissimi J. Boteri G. Itali",lat,,J. Boterus
"Deutschunterricht,Grundschule,Deutschland,Lesebuch",1639,Muttersprachlicher  Unterricht,Nürnberg,Endter,Grundschule,GEIsb000009872,"Lesebüchlein für die kleie Kinder, welche allbereit auß dem gemeinen Namenbüchlein in dem Buchstabiren genugsam geübt worden, vnd nunmehr im Lesen einen Anfang machen sollen",ger,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1633,Erstleseunterricht,Hamburg,Selbstverl. H. Lambeck,Grundschule,GEIsb000009800,Düedsche Orthographia,nds,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1632,Erstleseunterricht,Hamburg,Wernner,Grundschule,GEIsb000019540,"FIBEL, oder Nahmenbuch/ Darauß man lernet recht lesen",,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1619,Erstleseunterricht,Cöthen,,Grundschule,GEIsb000002739,Lesebüchlein für die Angehende Jugend Nach Der LehrArt RATICHII,,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1597,Erstleseunterricht,Nürnberg,Dieterich,Grundschule,GEIsb000118409,"Ein A B C Büchlein, darauß man die vier Haupt-Sprachen, als Ebraisch, Griechisch, Lateinisch, Deutsch & c. Leicht buchstabieren vnd lesen lernen kan",,,
"Erstleseunterricht,Grundschule,Deutschland,Schulbuch",1593,Erstleseunterricht,Hamburg,Jandeck,Grundschule,GEIsb000065937,"Kuenstlich/ New ABC Buch/. Darauß ein Junger/ Knabe/ die noetigsten vier Hauptsprachen Ebraisch, Griechisch, Lateinisch Deutsch Zugleich so leicht/ als ein alleine/ mit gossem vortheil lesen lernen kan/ allgemeiner Christlichen Jugend zum besten angestellet",,,
