RSWKTag,year,subject,publisher_city,publisher,schoollevel,id,title,language,schooltype,author
"Geschichtsunterricht,Deutschland,Lehrmittel",1890,Geschichtsunterricht,Langensalza,Schulbuchh. Gressler,k07,GEIsb000012437,Friedrich III.,ger,,
"Deutschunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Lesebuch",1890,Muttersprachlicher  Unterricht,Berlin,Grote,Sekundarstufe 1,GEIsb2050005x01890,,ger,Gymnasium,
"Deutschunterricht,Berufsbildende Schule,Deutschland,Lesebuch",1890,Muttersprachlicher  Unterricht,Nürnberg,Korn,Berufliche Bildungsgänge,GEIsb000008536,Lehr- und Lesebuch für weibliche Sonntags- und Fortbildungsschulen,ger,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1890,Geschichtsunterricht,Leipzig,Reichardt,Sekundarstufe 2,GEIsb000015335,Geschichts-Kursus für die oberen und mittleren Klassen höherer Lehranstalten und zum Selbstunterricht,ger,,
"Geografieunterricht,Gymnasium,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geographieunterricht,Halle,Buchh. des Waisenhauses,Sekundarstufe 1,GEIsb000015683,Leitfaden für den Unterricht in der Geographie,,Gymnasium,
"Geografieunterricht,Deutschland,Lehrmittel",1890,Geographieunterricht,Gotha,Behrend,k07,GEIsb2400015x02890,Bilder aus Europa mit Ausschluss des Deutschen Reiches,ger,,
"Geografieunterricht,Deutschland,Lehrmittel",1890,Geographieunterricht,Wolfenbüttel,Zwißler,k07,GEIsb000006405,Bilder aus dem Lande Braunschweig,ger,,
"Realien,Berufsbildende Schule,Deutschland,Lehrmittel",1890,Realien,Kiel,Lipsius & Tischer,Berufliche Bildungsgänge,kmmbuch00019179X,Lesebuch für Gewerbeschulen sowie für gewerbliche Fortbildungs- und Fachschulen,,,
"Realien,Berufsbildende Schule,Deutschland,Lehrmittel",1890,Realien,Ludwigshafen a. Rh.,Baumgärtner,Berufliche Bildungsgänge,GEIsb000007846,Bürger- und Haushaltungskunde,ger,,
"Sachunterricht,Grundschule,Deutschland,Schulbuch",1890,Sachunterricht,Langensalza,Schulbuchh.,Grundschule,GEIsb000013983,Das @erste Schuljahr,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel",1890,Geschichtsunterricht,Breslau,Hirt,k07,GEIsb000013517,Ferdinand Hirts historische Bildertafeln,,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1890,Geschichtsunterricht,Berlin,Gaertner,Sekundarstufe 2,GEIsb000011717,Quellenbuch zur Geschichte der Neuzeit,,,
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geschichtsunterricht,München,Oldenbourg,Sekundarstufe 1,GEIsb2470011x03890,Die @neue Zeit,,Realschule,
"Geschichtsunterricht,Deutschland,Lehrmittel",1890,Geschichtsunterricht,Langensalza,Schulbuchh. Gressler,k07,GEIsb000016842,General Georg Leo von Caprivi,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel",1890,Geschichtsunterricht,Frankfurt,Kauffmann,k07,GEIsb000034038,Quellenbuch für den Unterricht in jüdischer Geschichte u[nd] Litteratur,,,
"Geografieunterricht,Deutschland,Lehrerhandbuch",1890,Geographieunterricht,Meißen,Schlimpert,k07,GEIsb000010659,Landeskunde des deutschen Reiches,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel",1890,Geschichtsunterricht,Gotha,Perthes,k07,GEIsb000010693,Die @weltgeschichtlichen Kämpfe des Altertums,ger,,
"Geografieunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geographieunterricht,Halle,Anton,Sekundarstufe 1,GEIsb000012301,Kleine Erdkunde,,,
"Geschichtsunterricht,Sekundarstufe 2,Deutschland,Schulbuch",1890,Geschichtsunterricht,Berlin,Grote,Sekundarstufe 2,GEIsb2530031x03890,Leitfaden für den Unterricht in der neueren Geschichte,ger,,
"Geschichtsunterricht,Deutschland,Lehrmittel",1890,Geschichtsunterricht,Leipzig,Gräbner,k07,GEIsb000007310,Kulturbilder aus Deutschlands Vergangenheit,ger,,
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geschichtsunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb2470005x01890,,,Realschule,
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geschichtsunterricht,München,Oldenbourg,Sekundarstufe 1,GEIsb2470011x01890,Die @alte Zeit,,Realschule,
"Geschichtsunterricht,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geschichtsunterricht,Leipzig,Richter,Sekundarstufe 1,GEIsb000012186,Geschichtsbilder,ger,,
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geschichtsunterricht,München,Oldenbourg,Sekundarstufe 1,GEIsb2470011x02890,Die @mittlere Zeit,,Realschule,
"Geschichtsunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geschichtsunterricht,Breslau,Hirt,Sekundarstufe 1,GEIsb2470005x02890,,,Realschule,
"Geografieunterricht,Deutschland,Lehrmittel",1890,Geographieunterricht,Gotha,Behrend,k07,GEIsb2400015x01890,Bilder aus der allgemeinen Geographie und aus den aussereuropäischen Erdteilen,ger,,
"Deutschunterricht,Deutschland,Lesebuch",1890,Muttersprachlicher  Unterricht,Berlin,Reichsdr.,k07,GEIsb2200020x01890,Vaterländisches,ger,,
"Geografieunterricht,Realschule,Sekundarstufe 1,Deutschland,Schulbuch",1890,Geographieunterricht,München,Oldenbourg,Sekundarstufe 1,GEIsb2270005x03890,Europa,,Realschule,
